n,Karatsuba
625,1207617
626,1204501
627,1208765
628,1210446
629,1214218
630,1211676
631,1224427
632,1227379
633,1233201
634,1223033
635,1239105
636,1232012
637,1224468
638,1237957
639,1247305
640,1239228
641,1249355
642,1247756
643,1262393
644,1259605
645,1264279
646,1261983
647,1265632
648,1272971
649,1271290
650,1279941
651,1276497
652,1279982
653,1278055
654,1284205
655,1278752
656,1291749
657,1290273
658,1288715
659,1299293
660,1299252
661,1307247
662,1305812
663,1313561
664,1309338
665,1303270
666,1308887
667,1318440
668,1320531
669,1316062
670,1320900
671,1326025
672,1338858
673,1329264
674,1337587
675,1347099
676,1330453
677,1351855
678,1351240
679,1343983
680,1360588
681,1359563
682,1355258
683,1360957
684,1364319
685,1366738
686,1382318
687,1369649
688,1387197
689,1388878
690,1380801
691,1394823
692,1393265
693,1388919
694,1401178
695,1401834
696,1411879
697,1407123
698,1418931
699,1421473
700,1423359
701,1427459
702,1428935
703,1431477
704,1439390
705,1453945
706,1444720
707,1451772
708,1447385
709,1461161
710,1450993
711,1469279
712,1468172
713,1469689
714,1486950
715,1474363
716,1483055
717,1487688
718,1492034
719,1496216
720,1487770
721,1489041
722,1490763
723,1508147
724,1509869
725,1512124
726,1513805
727,1520652
728,1524547
729,1525490
730,1534879
731,1530205
732,1536888
733,1552755
734,1549106
735,1550992
736,1547384
737,1555010
738,1563538
739,1583136
740,1566367
741,1572435
742,1584653
743,1579323
744,1594534
745,1585309
746,1598101
747,1605891
748,1596871
749,1608843
750,1616961
751,1627252
752,1631762
753,1628113
754,1634099
755,1633689
756,1634796
757,1647752
758,1643119
759,1650827
760,1650868
761,1644595
762,1666694
763,1658166
764,1661774
765,1677436
766,1664931
767,1671122
768,1682684
769,1678871
770,1690638
771,1699125
772,1687604
773,1699781
774,1703512
775,1705316
776,1718723
777,1710277
778,1713229
779,1719789
780,1712163
781,1723561
782,1734877
783,1730449
784,1738772
785,1742052
786,1747423
787,1747915
788,1748325
789,1754639
790,1770916
791,1770096
792,1772146
793,1773991
794,1783011
795,1785102
796,1776451
797,1784077
798,1794983
799,1796213
800,1805028
801,1808308
802,1808841
803,1808472
804,1816426
805,1822043
806,1828521
807,1826717
808,1835819
809,1832211
810,1843035
811,1837787
812,1845946
813,1851399
814,1842953
815,1862346
816,1862018
817,1874892
818,1869562
819,1862797
820,1872104
821,1886659
822,1882149
823,1893506
824,1897975
825,1893588
826,1902690
827,1902403
828,1905642
