n,Karatsuba
2215,9017543
2216,9070556
2217,9044603
2218,9029515
2219,9041938
2220,9073959
2221,9086792
2222,9091917
2223,9104504
2224,9091343
2225,9123323
2226,9113278
2227,9122708
2228,9140748
2229,9128981
2230,9152884
2231,9156000
2232,9140789
2233,9140789
2234,9168628
2235,9159690
2236,9173220
2237,9174983
2238,9180600
2239,9200526
2240,9211268
2241,9218976
2242,9200608
2243,9202986
2244,9234925
2245,9222461
2246,9234023
2247,9236893
2248,9256327
2249,9255835
2250,9265388
2251,9265060
2252,9290316
2253,9292817
2254,9313727
2255,9302944
2256,9295154
2257,9318524
2258,9313522
2259,9323608
2260,9312128
2261,9316269
2262,9324059
2263,9333202
2264,9355998
2265,9354932
2266,9361205
2267,9357884
2268,9390561
2269,9359811
2270,9391340
2271,9366699
2272,9395522
2273,9394702
2274,9410938
2275,9429675
2276,9418441
2277,9437752
2278,9419220
2279,9437506
2280,9411266
2281,9447756
2282,9427871
2283,9449970
2284,9452102
2285,9489863
2286,9481950
2287,9465222
2288,9481171
2289,9530863
2290,9487157
2291,9526476
2292,9514258
2293,9517087
2294,9526353
2295,9553700
2296,9538530
2297,9530576
2298,9563089
2299,9560178
2300,9569444
2301,9569813
2302,9566984
2303,9580842
2304,9586254
2305,9608722
2306,9576086
2307,9606426
2308,9608271
2309,9630780
2310,9627664
2311,9625860
2312,9663539
2313,9644966
2314,9659275
2315,9689574
2316,9661571
2317,9680554
2318,9682317
2319,9673543
2320,9683957
2321,9732132
2322,9727909
2323,9721882
2324,9707901
2325,9746236
2326,9752058
2327,9745662
2328,9731189
2329,9751771
2330,9763456
2331,9743735
2332,9763128
2333,9756814
2334,9772435
2335,9795272
2336,9769729
2337,9823644
2338,9796912
2339,9800561
2340,9790311
2341,9821061
2342,9836067
2343,9832090
2344,9847014
2345,9840003
2346,9849925
2347,9858494
2348,9875632
2349,9866940
2350,9883627
2351,9871327
2352,9880839
2353,9911794
2354,9884037
2355,9906956
2356,9911056
2357,9917862
2358,9929506
2359,9948981
2360,9947259
2361,9952384
2362,9955623
2363,9954147
2364,9951236
2365,9990391
2366,9939346
2367,9970424
2368,9996500
2369,9986004
2370,10007078
2371,10009005
2372,10009374
2373,10044101
2374,10032211
2375,10031883
2376,10049636
2377,10020936
2378,10037869
2379,10066405
2380,10073826
2381,10056483
2382,10096253
2383,10074031
2384,10105765
2385,10079894
2386,10082805
2387,10086659
2388,10085757
2389,10097688
2390,10138524
2391,10145863
2392,10133891
2393,10145699
2394,10145125
2395,10154801
2396,10144428
2397,10177556
2398,10185469
2399,10202115
2400,10175055
2401,10186945
2402,10221426
2403,10193669
2404,10208306
2405,10217408
2406,10218351
2407,10200188
2408,10214087
2409,10232947
2410,10258080
2411,10257998
2412,10250208
2413,10257752
2414,10271897
2415,10288871
2416,10286083
2417,10307321
2418,10304533
2419,10305640
2420,10325894
2421,10345287
2422,10310765
2423,10331019
2424,10336923
2425,10342212
2426,10341269
2427,10376160
2428,10385508
2429,10398628
2430,10381859
2431,10385672
2432,10408550
2433,10419825
2434,10404942
2435,10434544
2436,10420973
2437,10435528
2438,10447910
2439,10445737
2440,10457668
2441,10455249
2442,10486081
2443,10460907
2444,10481981
2445,10478701
2446,10472264
2447,10501989
2448,10482145
2449,10513059
2450,10533231
2451,10531468
2452,10537987
2453,10531140
2454,10531673
2455,10571033
2456,10544793
2457,10568204
2458,10599774
2459,10588171
2460,10595182
2461,10592599
2462,10604120
2463,10602398
2464,10612689
2465,10590549
2466,10608835
2467,10623431
2468,10606416
2469,10617404
2470,10640077
2471,10659716
2472,10648277
2473,10657584
2474,10677469
2475,10679724
2476,10670253
2477,10666727
2478,10705636
2479,10696575
2480,10701536
2481,10699691
2482,10702766
2483,10734295
2484,10736509
2485,10724332
2486,10731056
2487,10768161
2488,10755943
2489,10779928
2490,10781158
2491,10773573
2492,10777263
2493,10776443
2494,10813261
2495,10804446
2496,10803339
2497,10827939
2498,10851227
2499,10838189
2500,10853482
2501,10867914
2502,10851678
2503,10880911
2504,10877098
2505,10857664
2506,10863978
2507,10866561
2508,10909529
2509,10904199
2510,10910800
2511,10891776
2512,10921050
2513,10928963
2514,10922198
2515,10929701
2516,10977179
2517,10941345
2518,10942862
2519,10951144
2520,10931095
2521,10980172
2522,10987880
2523,10956679
2524,10983001
2525,10981197
2526,11031832
2527,11002845
2528,10990545
2529,11015063
2530,11039868
2531,11056432
2532,11034866
2533,11044460
2534,11051020
2535,11019860
2536,11066928
2537,11042246
2538,11077260
2539,11070987
2540,11087715
2541,11104525
2542,11094521
2543,11086239
2544,11121827
2545,11108502
2546,11130355
2547,11101450
2548,11152208
2549,11121417
2550,11123057
2551,11145402
2552,11137612
2553,11175209
2554,11188165
2555,11156390
2556,11151552
2557,11174266
2558,11183696
2559,11215963
2560,11192142
2561,11197062
2562,11218382
2563,11210141
2564,11235766
2565,11233798
2566,11252494
2567,11229083
2568,11250280
2569,11259751
2570,11259587
2571,11290542
2572,11294929
2573,11272830
2574,11291690
2575,11309074
2576,11284310
2577,11284597
2578,11328098
2579,11347614
2580,11328836
2581,11346015
2582,11328836
2583,11354420
2584,11352575
2585,11354543
2586,11335601
2587,11381562
2588,11349705
2589,11365326
2590,11391443
2591,11403620
2592,11402759
2593,11397470
2594,11405506
2595,11391894
2596,11403579
2597,11425965
2598,11436789
2599,11435559
2600,11453230
2601,11445071
2602,11455362
2603,11481684
2604,11472254
2605,11475411
2606,11498412
2607,11491319
2608,11492590
2609,11500175
2610,11504398
2611,11478035
2612,11525267
2613,11535230
2614,11530679
2615,11526702
2616,11526620
2617,11536583
2618,11546136
2619,11537526
2620,11554295
2621,11604848
2622,11557698
2623,11580043
2624,11596894
2625,11590867
2626,11603085
2627,11613376
2628,11611859
2629,11613417
2630,11615344
2631,11627726
2632,11646832
2633,11630842
2634,11641461
2635,11639657
2636,11667906
2637,11651834
2638,11658394
2639,11652982
2640,11690456
2641,11685085
2642,11659091
2643,11688365
2644,11706241
2645,11692793
2646,11697959
2647,11719320
2648,11724568
2649,11736376
2650,11720099
2651,11752776
2652,11764092
2653,11761632
2654,11774711
2655,11787749
2656,11775490
2657,11787175
2658,11781435
2659,11791070
2660,11802673
2661,11812513
2662,11810791
2663,11810750
2664,11801156
2665,11801976
2666,11842648
2667,11849495
2668,11821451
2669,11842238
2670,11845149
2671,11870979
2672,11890946
2673,11892012
2674,11892914
2675,11911323
2676,11893365
2677,11924238
2678,11924320
2679,11948428
2680,11898326
2681,11953143
2682,11920097
2683,11948715
2684,11944656
2685,11945312
2686,11942360
2687,11963680
2688,11963188
2689,11963680
2690,11963270
2691,12015381
2692,11973274
2693,12016775
2694,11996029
2695,12017513
2696,12008124
2697,12011978
2698,12001605
2699,12031822
2700,12012265
2701,12058472
2702,12074462
2703,12070731
2704,12063966
2705,12101809
2706,12072658
2707,12080694
2708,12093199
2709,12108574
2710,12064991
2711,12111116
2712,12106442
2713,12082047
2714,12096807
2715,12143547
2716,12152854
2717,12141456
2718,12152772
2719,12143383
2720,12160562
2721,12154166
2722,12194920
2723,12177454
2724,12203161
2725,12196970
2726,12201890
2727,12204350
2728,12226695
2729,12219930
2730,12238831
2731,12251787
2732,12247687
2733,12251295
2734,12236207
2735,12258921
2736,12256010
2737,12282537
2738,12274132
2739,12313041
2740,12296108
2741,12291475
2742,12319601
2743,12328293
2744,12335263
2745,12357895
2746,12320872
2747,12315583
2748,12340019
2749,12381921
2750,12392622
2751,12380240
2752,12407300
2753,12423208
2754,12394385
2755,12425586
2756,12419641
2757,12432638
2758,12411810
2759,12453466
2760,12468759
2761,12451703
2762,12509636
2763,12502461
2764,12488808
2765,12482781
2766,12485692
2767,12512096
2768,12503978
2769,12512588
2770,12542067
2771,12557524
2772,12525708
2773,12578885
2774,12546823
2775,12595941
2776,12581140
2777,12589258
2778,12582985
2779,12668306
2780,12602911
2781,12648995
2782,12639032
2783,12664862
2784,12642353
2785,12683476
2786,12664329
2787,12665928
2788,12710044
2789,12690405
2790,12691717
2791,12725665
2792,12742557
2793,12710044
2794,12720663
2795,12760023
2796,12762073
2797,12747559
2798,12768633
2799,12762688
2800,12771503
2801,12808444
2802,12811150
2803,12804836
2804,12796636
2805,12819432
2806,12839768
2807,12877529
2808,12855512
2809,12842310
2810,12875643
2811,12865434
2812,12878267
2813,12895323
2814,12872117
2815,12892166
2816,12897865
2817,12902047
2818,12941448
2819,12935257
2820,12948951
2821,12940259
2822,12937635
2823,12981915
2824,12992739
2825,12994625
2826,12983760
2827,13008114
2828,13028532
2829,13028327
2830,13022587
2831,13048581
2832,13067359
2833,13052722
2834,13066662
2835,13063956
2836,13076871
2837,13090073
2838,13106678
2839,13079044
2840,13080807
2841,13126030
2842,13142061
2843,13142553
2844,13150466
2845,13147022
2846,13174041
2847,13173836
2848,13195402
2849,13171376
2850,13188145
2851,13225086
2852,13185111
2853,13227915
2854,13237345
2855,13233245
2856,13235910
2857,13264364
2858,13252679
2859,13285602
2860,13275188
2861,13257066
2862,13277074
2863,13304708
2864,13352309
2865,13328529
2866,13315491
2867,13373178
2868,13358295
2869,13356778
2870,13327545
2871,13338328
2872,13393678
2873,13369283
2874,13413563
2875,13381214
2876,13395564
2877,13417581
2878,13425494
2879,13415244
2880,13415900
2881,13455588
2882,13440623
2883,13467191
2884,13471824
2885,13458786
2886,13479163
2887,13505813
2888,13513890
2889,13527789
2890,13504747
2891,13531848
2892,13530495
2893,13560261
2894,13560630
2895,13581253
2896,13554808
2897,13586132
2898,13584205
2899,13610568
2900,13570265
2901,13620367
2902,13607575
2903,13577112
2904,13632913
2905,13620531
2906,13648411
2907,13685967
2908,13650379
2909,13663294
2910,13702654
2911,13706221
2912,13716430
2913,13685967
2914,13722744
2915,13754683
2916,13758250
2917,13756241
2918,13782973
2919,13766532
2920,13809172
2921,13792813
2922,13823768
2923,13824793
2924,13814215
2925,13854190
2926,13836929
2927,13858741
2928,13870549
2929,13864850
2930,13886170
2931,13842464
2932,13873624
2933,13905891
2934,13908679
2935,13937010
2936,13933074
2937,13918478
2938,13958412
2939,13962758
2940,13994902
2941,13981495
2942,13977108
2943,14005357
2944,13997895
2945,14027784
2946,14018887
2947,14031597
2948,14041355
2949,14074401
2950,14063659
2951,14087070
2952,14083790
2953,14087357
2954,14106996
2955,14099575
2956,14127291
2957,14138115
2958,14125036
2959,14109784
2960,14172842
2961,14161977
2962,14183994
2963,14184568
2964,14223682
2965,14203141
2966,14203879
2967,14205314
2968,14213309
2969,14267265
2970,14245822
2971,14248569
2972,14251972
2973,14262386
2974,14309536
2975,14296334
2976,14274276
2977,14288052
2978,14359146
2979,14348896
2980,14333562
2981,14356358
2982,14335899
2983,14349265
2984,14355784
2985,14356850
2986,14390880
2987,14367838
2988,14391413
2989,14377186
2990,14421958
2991,14393176
2992,14422573
2993,14491822
2994,14450453
2995,14413799
2996,14497275
2997,14465008
2998,14457710
2999,14490059
3000,14503630
3001,14522039
3002,14540038
3003,14534339
3004,14554142
3005,14536676
3006,14569927
3007,14573822
3008,14584359
3009,14587393
3010,14579890
3011,14583170
3012,14598955
3013,14623801
3014,14670336
3015,14633887
3016,14625605
3017,14654469
3018,14673042
3019,14713755
3020,14721750
3021,14719044
3022,14679848
3023,14693624
3024,14716092
3025,14748482
3026,14782225
3027,14744464
3028,14737535
3029,14752910
3030,14755944
3031,14742701
3032,14784357
3033,14801741
3034,14806415
3035,14808383
3036,14832204
3037,14837329
3038,14824496
3039,14833516
3040,14874639
3041,14858034
3042,14841183
3043,14868161
3044,14894688
3045,14897271
3046,14850531
3047,14895262
3048,14895631
3049,14917197
3050,14913466
3051,14930522
3052,14956475
3053,14927160
3054,14963691
3055,14968488
3056,14983658
3057,14994113
3058,14982264
3059,14985995
3060,14971071
3061,15019697
3062,15063034
3063,14987594
3064,15043723
3065,15001616
3066,15041632
3067,15050816
3068,15079598
3069,15088249
3070,15100631
3071,15088864
3072,15116252
3073,15103665
3074,15113218
3075,15151717
3076,15155284
3077,15126625
3078,15142861
3079,15184066
3080,15197965
3081,15186936
3082,15212971
3083,15225312
3084,15223918
3085,15217973
3086,15222155
3087,15265164
3088,15193660
3089,15261351
3090,15263975
3091,15278940
3092,15304565
3093,15283778
3094,15308378
3095,15329575
3096,15347082
3097,15326254
3098,15341834
3099,15384269
3100,15336914
3101,15347041
3102,15364138
3103,15405671
3104,15411001
3105,15398373
3106,15393986
3107,15435068
3108,15396610
3109,15443719
3110,15399849
3111,15473362
3112,15430558
3113,15453395
3114,15457290
3115,15481357
3116,15453559
3117,15484309
3118,15482997
3119,15498782
3120,15502103
3121,15534124
3122,15528220
3123,15529286
3124,15540397
3125,15570737
3126,15562783
3127,15572664
3128,15571270
3129,15578527
3130,15603496
3131,15611696
3132,15631294
3133,15637813
3134,15633877
3135,15640478
3136,15643348
3137,15658887
3138,15652204
3139,15645685
3140,15657862
3141,15689104
3142,15698165
3143,15689678
3144,15736623
3145,15738140
3146,15728505
3147,15734778
3148,15754950
3149,15705668
3150,15782256
3151,15752736
3152,15768849
3153,15779099
3154,15817106
3155,15836950
3156,15844904
3157,15823871
3158,15824855
3159,15844084
3160,15860566
3161,15886642
3162,15872333
3163,15826044
3164,15868028
3165,15904149
3166,15895949
3167,15894965
3168,15939819
3169,15960483
3170,15929610
3171,15912308
3172,15959294
3173,15946174
3174,15943796
3175,15959171
3176,15992996
3177,16003943
3178,15984919
3179,15997465
3180,16024607
3181,16013906
3182,16041909
3183,16020302
3184,16106279
3185,16034939
3186,16090412
3187,16068600
3188,16099309
3189,16096644
3190,16061917
3191,16113864
3192,16130018
3193,16150764
3194,16166016
3195,16142031
3196,16151830
3197,16182047
3198,16173929
3199,16192379
3200,16211690
3201,16215708
3202,16254125
3203,16239324
3204,16233871
3205,16262530
3206,16233666
3207,16274379
3208,16245761
3209,16293403
3210,16289795
3211,16278725
3212,16306154
3213,16312345
3214,16312386
3215,16308819
3216,16350393
3217,16304227
3218,16381635
3219,16347892
3220,16376018
3221,16372000
3222,16352033
3223,16391516
3224,16400167
3225,16455435
3226,16410950
3227,16432762
3228,16432762
3229,16416157
3230,16444365
3231,16481142
3232,16462487
3233,16482823
3234,16491474
3235,16504635
3236,16533786
3237,16528169
3238,16558591
3239,16519846
3240,16528128
3241,16545143
3242,16555065
3243,16575360
3244,16568677
3245,16606356
3246,16605167
3247,16624765
3248,16571383
3249,16613408
3250,16635548
3251,16647397
3252,16630054
3253,16634605
3254,16665396
3255,16681099
3256,16670931
3257,16673596
3258,16689873
3259,16703116
3260,16684215
3261,16708815
3262,16710660
3263,16746043
3264,16754407
3265,16748421
3266,16759532
3267,16781631
3268,16821319
3269,16807461
3270,16808732
3271,16807092
3272,16861294
3273,16844812
3274,16856333
3275,16878350
3276,16890158
3277,16875152
3278,16863467
3279,16927632
3280,16955184
3281,16925254
3282,16918612
3283,16909633
3284,16950510
3285,16952478
3286,16924311
3287,16931445
3288,16967484
3289,16975069
3290,16988804
3291,16997209
3292,16996430
3293,17012502
3294,17031198
3295,17011272
3296,17041858
3297,17049033
3298,17059529
3299,17071829
3300,17110082
3301,17094215
3302,17087983
3303,17073018
3304,17109590
3305,17117790
3306,17064531
3307,17131074
3308,17156453
3309,17140545
3310,17165268
3311,17163423
3312,17169901
3313,17189868
3314,17215288
3315,17186383
3316,17200733
3317,17223570
3318,17220782
3319,17224226
3320,17227260
3321,17232508
3322,17260962
3323,17216928
3324,17296837
3325,17254361
3326,17276542
3327,17258379
3328,17295402
3329,17312048
3330,17323651
3331,17314139
3332,17332753
3333,17340461
3334,17364323
3335,17357189
3336,17356205
3337,17357394
3338,17371416
3339,17349768
3340,17408931
3341,17405364
3342,17440296
3343,17413810
3344,17414097
3345,17418771
3346,17409423
3347,17468914
3348,17441362
3349,17494293
3350,17469611
3351,17477647
3352,17456532
3353,17464486
3354,17488266
3355,17515572
3356,17489291
3357,17521435
3358,17512292
3359,17520451
3360,17549848
3361,17522296
3362,17511718
3363,17536933
3364,17587404
3365,17593759
3366,17577154
3367,17540910
3368,17613234
3369,17639105
3370,17637014
3371,17591176
3372,17586051
3373,17568995
3374,17640048
3375,17644066
3376,17655259
3377,17657350
3378,17633611
3379,17641360
3380,17733159
3381,17688305
3382,17695193
3383,17689002
3384,17742343
3385,17718686
3386,17741605
3387,17757021
3388,17741564
3389,17779489
3390,17775184
3391,17801137
3392,17802449
3393,17796094
3394,17772970
3395,17806098
3396,17776455
3397,17818111
3398,17836766
3399,17825901
3400,17865753
3401,17875224
3402,17877110
3403,17882645
3404,17837545
3405,17909828
3406,17889943
3407,17915035
3408,17913395
3409,17952140
3410,17920037
3411,17927991
3412,17964973
3413,17918479
3414,17962390
3415,17994411
3416,17946195
3417,17992525
3418,17977519
3419,18001176
3420,18032172
3421,18015321
3422,18002201
3423,18059847
3424,18062512
3425,18046768
3426,18070220
3427,18071737
3428,18086989
3429,18111056
3430,18119338
3431,18142298
3432,18144266
3433,18122044
3434,18155418
3435,18179936
3436,18185758
3437,18183544
3438,18205479
3439,18199657
3440,18169891
3441,18243117
3442,18224339
3443,18272596
3444,18256688
3445,18262961
3446,18256114
3447,18284978
3448,18270546
3449,18311628
3450,18278541
3451,18335777
3452,18356646
3453,18315851
3454,18355498
3455,18353243
3456,18360295
3457,18380754
3458,18406584
3459,18377884
3460,18400967
3461,18433931
3462,18417367
3463,18412898
3464,18451438
3465,18464435
3466,18419786
3467,18472881
3468,18467633
3469,18462016
3470,18465132
3471,18525074
3472,18558366
3473,18544180
3474,18510068
3475,18529543
3476,18562835
3477,18546435
3478,18545861
3479,18620030
3480,18618718
3481,18595184
3482,18644343
3483,18597808
3484,18645204
3485,18630936
3486,18643769
3487,18692641
3488,18701661
3489,18691288
3490,18706499
3491,18721423
3492,18687106
3493,18751886
3494,18715027
3495,18733887
3496,18752296
3497,18729623
3498,18738356
3499,18760578
3500,18768245
3501,18781529
3502,18837125
3503,18819659
3504,18817404
3505,18855329
3506,18877018
3507,18868039
3508,18863693
3509,18876157
3510,18912811
3511,18912155
3512,18934582
3513,18913057
3514,18973532
3515,18943684
3516,18945652
3517,18954549
3518,18978124
3519,19002478
3520,19011498
3521,19012441
3522,19019001
3523,19046020
3524,19046963
3525,19075786
3526,19102272
3527,19084150
3528,19075458
3529,19122731
3530,19099894
3531,19102231
3532,19131628
3533,19118631
3534,19096860
3535,19165330
3536,19205018
3537,19171275
3538,19164141
3539,19209897
3540,19217195
3541,19197433
3542,19244091
3543,19233882
3544,19231668
3545,19276932
3546,19262008
3547,19241713
3548,19290093
3549,19325312
3550,19313791
3551,19319367
3552,19318301
3553,19366230
3554,19340728
3555,19327772
3556,19382630
3557,19410838
3558,19372749
3559,19367870
3560,19415061
3561,19442203
3562,19410633
3563,19432486
3564,19414938
3565,19402597
3566,19468402
3567,19479431
3568,19474798
3569,19490460
3570,19486237
3571,19508377
3572,19563194
3573,19464220
3574,19517274
3575,19530107
3576,19561431
3577,19541423
3578,19537733
3579,19565203
3580,19544252
3581,19576150
3582,19621865
3583,19622070
3584,19631787
3585,19640356
3586,19630270
3587,19621742
3588,19689515
3589,19712721
3590,19707350
3591,19699109
3592,19653804
3593,19711778
3594,19736296
3595,19693533
3596,19728506
3597,19726661
3598,19763069
3599,19765037
3600,19734000
3601,19742897
3602,19811900
3603,19773360
3604,19808661
3605,19839452
3606,19815836
3607,19841953
3608,19809440
3609,19890702
3610,19865733
3611,19859173
3612,19885044
3613,19915671
3614,19924978
3615,19890620
3616,19913621
3617,19930472
3618,19984018
3619,19962616
3620,19957942
3621,19930267
3622,19998901
3623,19979221
3624,19982747
3625,20003001
3626,20015219
3627,20009028
3628,20011898
3629,20020959
3630,20062041
3631,20094964
3632,20099638
3633,20038097
3634,20054784
3635,20099351
3636,20097834
3637,20098572
3638,20135800
3639,20130429
3640,20098449
3641,20154209
3642,20143713
3643,20157038
3644,20158678
3645,20143549
3646,20176923
3647,20218005
3648,20201195
3649,20230715
3650,20253511
3651,20215545
3652,20225344
3653,20292789
3654,20284917
3655,20288115
3656,20283318
3657,20261834
3658,20291026
3659,20288935
3660,20299390
3661,20348631
3662,20330591
3663,20340349
3664,20390164
3665,20355273
3666,20405416
3667,20379504
3668,20417511
3669,20406605
3670,20409229
3671,20362817
3672,20424932
3673,20413903
3674,20402300
3675,20465276
3676,20496354
3677,20473025
3678,20493853
3679,20510458
3680,20520995
3681,20504062
3682,20548260
3683,20504718
3684,20539076
3685,20549818
3686,20540224
3687,20590818
3688,20627923
3689,20545308
3690,20581183
3691,20587579
3692,20663388
3693,20650801
3694,20666873
3695,20652195
3696,20648013
3697,20684585
3698,20668390
3699,20680403
3700,20726159
3701,20702707
3702,20703117
3703,20722469
3704,20698894
3705,20757278
3706,20762608
3707,20746782
3708,20717303
3709,20752686
3710,20750923
3711,20764576
3712,20770029
3713,20814063
3714,20806150
3715,20831529
3716,20800041
3717,20796105
3718,20814555
3719,20819721
3720,20832513
3721,20839237
3722,20894423
3723,20861090
3724,20889872
3725,20872611
3726,20889257
3727,20921278
3728,20962237
3729,20921114
3730,20909429
3731,20903689
3732,20941491
3733,20968018
3734,20987698
3735,20953340
3736,21016398
3737,20990035
3738,21010740
3739,20965968
3740,20986714
3741,21013200
3742,21044852
3743,21061990
3744,21080973
3745,21027140
3746,21066992
3747,21027755
3748,21043376
3749,21103359
3750,21112461
3751,21129312
3752,21109919
3753,21171583
3754,21112994
3755,21125130
3756,21122301
3757,21148951
3758,21148295
3759,21170804
3760,21161784
3761,21233370
3762,21180726
3763,21185974
3764,21222423
3765,21184662
3766,21225293
3767,21237019
3768,21264038
3769,21221603
3770,21284087
3771,21305858
3772,21301922
3773,21313730
3774,21320085
3775,21307170
3776,21322012
3777,21289253
3778,21352844
3779,21356493
3780,21409670
3781,21371827
3782,21396509
3783,21395197
3784,21395976
3785,21405242
3786,21433163
3787,21417542
3788,21434065
3789,21457886
3790,21499378
3791,21500936
3792,21473753
3793,21517295
3794,21496098
3795,21527422
3796,21564158
3797,21499993
3798,21570021
3799,21498886
3800,21626847
3801,21562026
3802,21571538
3803,21561985
3804,21605691
3805,21621681
3806,21617786
3807,21621271
3808,21629676
3809,21647962
3810,21678794
3811,21690315
3812,21676703
3813,21724796
3814,21689536
3815,21733242
3816,21710405
3817,21742139
3818,21778137
3819,21732586
3820,21745952
3821,21764525
3822,21745091
3823,21775062
3824,21818973
3825,21857431
3826,21839227
3827,21782442
3828,21790355
3829,21846976
3830,21870592
3831,21859399
3832,21903392
3833,21912658
3834,21897283
3835,21894454
3836,21888919
3837,21910813
3838,21934675
3839,21954724
3840,21948000
3841,21954068
3842,21983998
3843,21946565
3844,21986991
3845,21945253
3846,21998553
3847,21971739
3848,21993879
3849,21996011
3850,22041439
3851,22044104
3852,22037421
3853,22095354
3854,22073009
3855,22038446
3856,22110483
3857,22103185
3858,22108228
3859,22122291
3860,22113066
3861,22157100
3862,22099413
3863,22136108
3864,22182684
3865,22178748
3866,22154640
3867,22164234
3868,22147137
3869,22185718
3870,22205603
3871,22232827
3872,22218067
3873,22225898
3874,22229752
3875,22268497
3876,22284241
3877,22292400
3878,22265094
3879,22272802
3880,22285307
3881,22305110
3882,22314130
3883,22314458
3884,22308472
3885,22306504
3886,22359517
3887,22352752
3888,22365339
3889,22406585
3890,22346110
3891,22425855
3892,22355089
3893,22419582
3894,22424010
3895,22449266
3896,22429094
3897,22433604
3898,22447749
3899,22446068
3900,22441886
3901,22475875
3902,22479934
3903,22476449
3904,22515112
3905,22497277
3906,22536596
3907,22492685
3908,22520852
3909,22524706
3910,22546969
3911,22562877
3912,22558736
3913,22582352
3914,22591208
3915,22573906
3916,22560745
3917,22575751
3918,22578293
3919,22644836
3920,22601991
3921,22599941
3922,22589076
3923,22659965
3924,22609617
3925,22641228
3926,22653610
3927,22696947
3928,22709985
3929,22719333
3930,22652175
3931,22703015
3932,22735569
3933,22684688
3934,22750780
3935,22738316
3936,22702318
3937,22770788
3938,22807606
3939,22775011
3940,22834994
3941,22788623
3942,22809082
3943,22809533
3944,22784523
3945,22861275
3946,22807565
3947,22883907
3948,22882554
3949,22867302
3950,22855494
3951,22918142
3952,22925030
3953,22947949
3954,22905145
3955,22866974
3956,22946596
3957,22883538
3958,22906293
3959,22964677
3960,22977346
3961,22989851
3962,22974435
3963,23005431
3964,23008506
3965,23007563
3966,23013098
3967,22965292
3968,23065578
3969,23060289
3970,23088866
3971,23046062
3972,23106578
3973,23111170
3974,23023471
3975,23048481
3976,23113630
3977,23097107
3978,23094483
3979,23076443
3980,23147045
3981,23142986
3982,23189890
3983,23187225
3984,23204240
3985,23188496
3986,23201165
3987,23153072
3988,23209201
3989,23244051
3990,23214162
3991,23242411
3992,23244707
3993,23273530
3994,23241755
3995,23277343
3996,23298171
3997,23295875
3998,23306494
3999,23306330
4000,23272915
4001,23370618
4002,23303870
4003,23373324
4004,23322730
4005,23361065
4006,23373570
4007,23368896
4008,23338679
4009,23363853
4010,23420392
4011,23340073
4012,23421704
4013,23397473
4014,23440154
4015,23423180
4016,23411126
4017,23407559
4018,23457128
4019,23434496
4020,23509608
4021,23462089
4022,23508993
4023,23496406
4024,23560899
4025,23527894
4026,23502064
4027,23509239
4028,23526992
4029,23547738
4030,23562990
4031,23607721
4032,23578980
4033,23594478
4034,23616700
4035,23585376
4036,23617028
4037,23599357
4038,23572010
4039,23661472
4040,23653108
4041,23634576
4042,23721783
4043,23683612
4044,23662948
4045,23688491
4046,23674100
4047,23728384
4048,23696814
4049,23733919
4050,23707679
4051,23688491
4052,23709852
4053,23704973
4054,23753066
4055,23744292
4056,23806407
4057,23719979
4058,23760241
4059,23798699
4060,23828875
4061,23809687
4062,23830351
4063,23799396
4064,23878690
4065,23854049
4066,23829982
4067,23905709
4068,23899190
4069,23881396
4070,23872335
4071,23876886
4072,23950317
4073,23933917
4074,23947857
4075,23962740
4076,23939821
4077,24001813
4078,23927070
4079,24015999
4080,24024568
4081,23994310
4082,24021206
4083,24016614
4084,24024568
4085,24074219
4086,24037073
4087,24046093
4088,24079016
4089,24073071
4090,24078688
4091,24075654
4092,24083895
4093,24116900
4094,24093366
4095,24111119
4096,24092546
4097,24155686
4098,24149167
4099,24176678
4100,24193406
4101,24180532
4102,24197875
4103,24225222
4104,24232561
4105,24250724
4106,24239818
4107,24289264
4108,24293528
4109,24264951
4110,24311445
4111,24299227
4112,24355766
4113,24315873
4114,24349001
4115,24355807
4116,24361260
4117,24329649
4118,24366508
4119,24384384
4120,24432477
4121,24403859
4122,24427311
4123,24400989
4124,24420915
4125,24406934
4126,24433953
4127,24430878
4128,24475281
4129,24457364
4130,24524522
4131,24481103
4132,24518331
4133,24529073
4134,24538503
4135,24541209
4136,24553017
4137,24568679
4138,24555764
4139,24558880
4140,24604472
4141,24597871
4142,24567121
4143,24580036
4144,24611483
4145,24622184
4146,24646005
4147,24592500
4148,24676304
4149,24636985
4150,24700125
4151,24690613
4152,24709186
4153,24710826
4154,24689752
4155,24732802
4156,24726201
4157,24756418
4158,24739116
4159,24770932
4160,24801436
4161,24811358
4162,24789177
4163,24814392
4164,24792334
4165,24817139
4166,24884256
4167,24808283
4168,24802707
4169,24856294
4170,24824601
4171,24865847
4172,24868471
4173,24852891
4174,24883928
4175,24896884
4176,24912956
4177,24911849
4178,24911767
4179,24927388
4180,24953751
4181,24918573
4182,24930873
4183,24976834
4184,24954243
4185,24973308
4186,24991963
4187,25009921
4188,25001516
4189,24974948
4190,25066501
4191,25062278
4192,25068838
4193,25084336
4194,25035382
4195,25115373
4196,25057399
4197,25096677
4198,25123163
4199,25137595
4200,25074291
4201,25116644
4202,25163835
4203,25132306
4204,25167361
4205,25167156
4206,25153749
4207,25124434
4208,25182818
4209,25197660
4210,25244892
4211,25229435
4212,25268098
