n,Simple_Multiplication
569,6821748
570,6845710
571,6869711
572,6893754
573,6917839
574,6941966
575,6966135
576,6990346
577,7014599
578,7038894
579,7063231
580,7087610
581,7112028
582,7136494
583,7160999
584,7185546
585,7210135
586,7234766
587,7259439
588,7284154
589,7308908
590,7333710
591,7358551
592,7383434
593,7408359
594,7433326
595,7458332
596,7483383
597,7508479
598,7533614
599,7558788
600,7584010
601,7609271
602,7634574
603,7659919
604,7685306
605,7710735
606,7736203
607,7761719
608,7787274
609,7812871
610,7838510
611,7864191
612,7889914
613,7915679
614,7941486
615,7967335
616,7993226
617,8019159
618,8045131
619,8071148
620,8097210
621,8123308
622,8149454
623,8175639
624,8201866
625,8228135
626,8254446
627,8280799
628,8307191
629,8333631
630,8360110
631,8386631
632,8413194
633,8439799
634,8466443
635,8493132
636,8519866
637,8546639
638,8573454
639,8600311
640,8627210
641,8654151
642,8681134
643,8708159
644,8735226
645,8762335
646,8789483
647,8816679
648,8843914
649,8871191
650,8898510
651,8925871
652,8953274
653,8980719
654,9008206
655,9035732
656,9063306
657,9090919
658,9118574
659,9146271
660,9174010
661,9201791
662,9229614
663,9257476
664,9285386
665,9313335
666,9341323
667,9369356
668,9397431
669,9425548
670,9453710
671,9481911
672,9510151
673,9538439
674,9566766
675,9595132
676,9623546
677,9651999
678,9680494
679,9709031
680,9737610
681,9766231
682,9794894
683,9823599
684,9852346
685,9881132
686,9909966
687,9938839
688,9967751
689,9996711
690,10025710
691,10054748
692,10083834
693,10112959
694,10142123
695,10171335
696,10200586
697,10229879
698,10259214
699,10288591
700,10318007
701,10347471
702,10376974
703,10406516
704,10436106
705,10465735
706,10495406
707,10525119
708,10554874
709,10584671
710,10614507
711,10644391
712,10674314
713,10704276
714,10734286
715,10764335
716,10794423
717,10824559
718,10854734
719,10884951
720,10915210
721,10945511
722,10975854
723,11006239
724,11036663
725,11067132
726,11097646
727,11128199
728,11158794
729,11189431
730,11220107
731,11250831
732,11281591
733,11312399
734,11343246
735,11374132
736,11405066
737,11436039
738,11467054
739,11498108
740,11529210
741,11560351
742,11591534
743,11622759
744,11654023
745,11685335
746,11716686
747,11748076
748,11779514
749,11810991
750,11842510
751,11874068
752,11905671
753,11937319
754,11969006
755,12000732
756,12032506
757,12064319
758,12096174
759,12128071
760,12160010
761,12191991
762,12224014
763,12256079
764,12288186
765,12320335
766,12352526
767,12384759
768,12417034
769,12449351
770,12481710
771,12514108
772,12546554
773,12579039
774,12611566
775,12644135
776,12676746
777,12709399
778,12742094
779,12774831
780,12807610
781,12840431
782,12873294
783,12906196
784,12939146
785,12972135
786,13005166
787,13038239
788,13071354
789,13104511
790,13137710
791,13170948
792,13204231
793,13237559
794,13270926
795,13304335
796,13337786
797,13371279
798,13404814
799,13438391
800,13472010
801,13505671
802,13539374
803,13573119
804,13606906
805,13640735
806,13674606
807,13708519
808,13742471
809,13776468
810,13810510
811,13844591
812,13878714
813,13912879
814,13947086
815,13981335
816,14015623
817,14049959
818,14084334
819,14118751
820,14153207
821,14187711
822,14222254
823,14256839
824,14291466
825,14326135
826,14360843
827,14395599
828,14430394
829,14465231
830,14500110
831,14535031
832,14569994
833,14604999
834,14640046
835,14675135
836,14710263
837,14745439
838,14780651
839,14815911
840,14851210
841,14886551
842,14921934
843,14957359
844,14992826
845,15028335
846,15063886
847,15099479
848,15135114
849,15170788
850,15206510
851,15242271
852,15278074
853,15313916
854,15349806
855,15385735
856,15421706
857,15457719
858,15493771
859,15529871
860,15566010
861,15602191
862,15638414
863,15674679
864,15710986
865,15747335
866,15783726
867,15820159
868,15856634
869,15893151
870,15929710
871,15966311
872,16002954
873,16039636
874,16076366
875,16113135
876,16149946
877,16186799
878,16223694
879,16260631
880,16297610
881,16334628
882,16371694
883,16408799
884,16445946
885,16483132
886,16520366
887,16557639
888,16594951
889,16632311
890,16669710
891,16707151
892,16744634
893,16782159
894,16819726
895,16857332
896,16894986
897,16932679
898,16970414
899,17008191
900,17046007
901,17083871
902,17121774
903,17159719
904,17197706
905,17235735
906,17273806
907,17311919
908,17350071
909,17388271
910,17426510
911,17464791
912,17503114
913,17541479
914,17579886
915,17618335
916,17656826
917,17695359
918,17733934
919,17772551
920,17811210
921,17849911
922,17888654
923,17927439
924,17966266
925,18005135
926,18044046
927,18082996
928,18121994
929,18161028
930,18200107
931,18239231
932,18278394
933,18317599
934,18356843
935,18396135
936,18435466
937,18474839
938,18514254
939,18553711
940,18593210
941,18632751
942,18672331
943,18711959
944,18751626
945,18791335
946,18831086
947,18870879
948,18910714
949,18950591
950,18990510
951,19030471
952,19070474
953,19110519
954,19150606
955,19190732
956,19230906
957,19271119
958,19311374
959,19351671
960,19392010
961,19432391
962,19472814
963,19513279
964,19553786
965,19594335
966,19634926
967,19675559
968,19716234
969,19756951
970,19797710
971,19838511
972,19879354
973,19920236
974,19961166
975,20002132
976,20043146
977,20084199
978,20125294
979,20166431
980,20207610
981,20248831
982,20290094
983,20331399
984,20372746
985,20414135
986,20455566
987,20497039
988,20538554
989,20580111
990,20621710
991,20663351
992,20705034
993,20746759
994,20788526
995,20830335
996,20872186
997,20914079
998,20956014
999,20997991
1000,21040007
1001,21082071
1002,21124174
1003,21166319
1004,21208506
1005,21250735
1006,21293006
1007,21335319
1008,21377671
1009,21420071
1010,21462510
1011,21504991
1012,21547514
1013,21590079
1014,21632686
1015,21675335
1016,21718026
1017,21760759
1018,21803534
1019,21846351
1020,21889210
1021,21932108
1022,21975054
1023,22018039
1024,22061066
1025,22104135
1026,22147243
1027,22190399
1028,22233594
1029,22276831
1030,22320110
1031,22363431
1032,22406794
1033,22450196
1034,22493646
1035,22537135
1036,22580666
1037,22624239
1038,22667854
1039,22711508
1040,22755207
1041,22798951
1042,22842734
1043,22886559
1044,22930426
1045,22974335
1046,23018286
1047,23062279
1048,23106314
1049,23150391
1050,23194510
1051,23238671
1052,23282874
1053,23327119
1054,23371406
1055,23415735
1056,23460103
1057,23504519
1058,23548971
1059,23593471
1060,23638010
1061,23682591
1062,23727214
1063,23771879
1064,23816586
1065,23861335
1066,23906126
1067,23950959
1068,23995834
1069,24040751
1070,24085710
1071,24130711
1072,24175754
1073,24220836
1074,24265966
1075,24311135
1076,24356346
1077,24401599
1078,24446894
1079,24492228
1080,24537610
1081,24583031
1082,24628494
1083,24673999
1084,24719543
1085,24765135
1086,24810766
1087,24856439
1088,24902154
1089,24947911
1090,24993710
1091,25039551
1092,25085434
1093,25131359
1094,25177326
1095,25223332
1096,25269386
1097,25315479
1098,25361614
1099,25407791
1100,25454010
1101,25500271
1102,25546574
1103,25592916
1104,25639306
1105,25685735
1106,25732206
1107,25778719
1108,25825274
1109,25871871
1110,25918510
1111,25965191
1112,26011914
1113,26058676
1114,26105486
1115,26152335
1116,26199223
1117,26246159
1118,26293134
1119,26340151
1120,26387210
1121,26434311
1122,26481454
1123,26528636
1124,26575866
1125,26623135
1126,26670446
1127,26717799
1128,26765194
1129,26812631
1130,26860110
1131,26907631
1132,26955194
1133,27002799
1134,27050443
1135,27098135
1136,27145866
1137,27193636
1138,27241454
1139,27289311
1140,27337210
1141,27385151
1142,27433134
1143,27481159
1144,27529226
1145,27577335
1146,27625486
1147,27673679
1148,27721914
1149,27770191
1150,27818507
1151,27866871
1152,27915274
1153,27963719
1154,28012206
1155,28060735
1156,28109303
1157,28157919
1158,28206574
1159,28255271
1160,28304010
1161,28352791
1162,28401611
1163,28450476
1164,28499383
1165,28548335
1166,28597326
1167,28646359
1168,28695434
1169,28744551
1170,28793710
1171,28842908
1172,28892151
1173,28941436
1174,28990763
1175,29040135
1176,29089546
1177,29138999
1178,29188494
1179,29238031
1180,29287610
1181,29337231
1182,29386894
1183,29436596
1184,29486346
1185,29536135
1186,29585966
1187,29635836
1188,29685754
1189,29735711
1190,29785710
1191,29835751
1192,29885834
1193,29935959
1194,29986126
1195,30036332
1196,30086586
1197,30136879
1198,30187214
1199,30237591
1200,30288010
1201,30338468
1202,30388974
1203,30439516
1204,30490106
1205,30540735
1206,30591406
1207,30642119
1208,30692874
1209,30743671
1210,30794510
1211,30845391
1212,30896314
1213,30947279
1214,30998286
1215,31049335
1216,31100426
1217,31151559
1218,31202734
1219,31253951
1220,31305210
1221,31356511
1222,31407854
1223,31459239
1224,31510666
1225,31562135
1226,31613646
1227,31665199
1228,31716791
1229,31768431
1230,31820110
1231,31871831
1232,31923594
1233,31975399
1234,32027246
1235,32079135
1236,32131066
1237,32183039
1238,32235054
1239,32287111
1240,32339210
1241,32391348
1242,32443534
1243,32495759
1244,32548026
1245,32600335
1246,32652686
1247,32705079
1248,32757514
1249,32809991
1250,32862510
1251,32915068
1252,32967674
1253,33020319
1254,33073006
1255,33125735
1256,33178506
1257,33231319
1258,33284171
1259,33337071
