n,Simple_Multiplication,Karatsuba
386,1954325,569083
387,1964422,567361
388,1974542,570067
389,1984688,569247
390,1994860,572568
391,2005055,579743
392,2015279,573921
393,2025532,586303
394,2035808,591633
395,2046110,587984
396,2056438,590936
397,2066792,590731
398,2077172,598808
399,2087578,597209
400,2098007,594831
401,2108465,601145
402,2118952,604794
403,2129462,607992
404,2139995,601924
405,2150557,609919
406,2161148,611723
407,2171762,617791
408,2182402,623695
409,2193068,627836
410,2203760,629804
411,2214478,633904
412,2225222,637143
413,2235992,638004
414,2246788,645302
415,2257607,637307
416,2268458,642227
417,2279332,652231
418,2290232,656741
419,2301158,650550
420,2312107,647680
421,2323088,650263
422,2334092,653994
423,2345122,662850
424,2356178,656413
425,2367260,663957
426,2378368,661866
427,2389502,665802
428,2400662,666991
429,2411848,666663
430,2423060,685851
431,2434298,680029
432,2445562,681423
433,2456852,690033
434,2468168,687491
435,2479510,685113
436,2490875,689828
437,2502272,697823
438,2513692,696839
439,2525138,707294
440,2536610,705736
441,2548108,708360
442,2559632,712993
443,2571182,709836
444,2582758,712337
445,2594360,730664
446,2605988,714141
447,2617642,727261
448,2629322,736363
449,2641028,729680
450,2652760,736117
451,2664518,736076
452,2676302,739069
453,2688109,741939
454,2699948,742103
455,2711810,755100
456,2723698,749934
457,2735612,760225
458,2747549,752681
459,2759518,754731
460,2771510,755551
461,2783528,768220
462,2795572,771992
463,2807642,766416
464,2819738,774657
465,2831860,773017
466,2844005,778265
467,2856182,776994
468,2868382,779044
469,2880608,782160
470,2892857,784743
471,2905138,793558
472,2917442,794952
473,2929772,792492
474,2942128,799872
475,2954510,804710
476,2966915,806350
477,2979352,806309
478,2991812,818281
479,3004295,810327
480,3016810,815288
481,3029348,823529
482,3041912,818076
483,3054502,822545
484,3067118,821766
485,3079757,827998
486,3092428,830499
487,3105122,829884
488,3117842,835214
489,3130588,839232
490,3143360,832672
491,3156158,839847
492,3168982,843250
493,3181832,845054
494,3194708,848744
495,3207610,857026
496,3220538,853295
497,3233492,855796
498,3246469,859855
499,3259478,863504
500,3272510,869080
501,3285565,867481
502,3298652,869244
503,3311762,868383
504,3324898,871335
505,3338057,879084
506,3351245,872647
507,3364462,881831
508,3377699,886956
509,3390968,896919
510,3404260,890769
511,3417578,887284
512,3430922,888965
513,3444292,901552
514,3457685,901593
515,3471110,905980
516,3484558,909875
517,3498029,915205
518,3511532,913934
519,3525058,915082
520,3538610,920330
521,3552188,919674
522,3565792,929391
523,3579422,925414
524,3593078,929842
525,3606760,934639
526,3620468,929063
527,3634202,935787
528,3647962,943208
529,3661748,947472
530,3675560,947062
531,3689398,951531
532,3703259,947882
533,3717152,954688
534,3731068,956697
535,3745010,957640
536,3758978,959157
537,3772969,960879
538,3786992,966250
539,3801038,967398
540,3815110,969038
541,3829208,972236
542,3843332,971375
543,3857482,967439
544,3871655,987447
545,3885857,978140
546,3900088,991875
547,3914342,992408
548,3928622,984741
549,3942928,1003355
550,3957260,1004052
551,3971618,1009587
552,3986002,999337
553,4000412,1008193
554,4014845,1008193
555,4029310,1009095
556,4043795,1008726
557,4058312,1012334
558,4072852,1016024
559,4087418,1026356
560,4102010,1024757
561,4116628,1023773
562,4131272,1034433
563,4145942,1033736
564,4160635,1034228
565,4175360,1034064
566,4190108,1038902
567,4204882,1044437
568,4219682,1042346
569,4234508,1050300
570,4249360,1042510
571,4264238,1050710
572,4279142,1059033
573,4294069,1066167
574,4309028,1063953
575,4324010,1053990
576,4339018,1073916
577,4354052,1073424
578,4369112,1075351
579,4384198,1075392
580,4399310,1076581
581,4414448,1072809
582,4429612,1086052
583,4444802,1082936
584,4460018,1089291
585,4475260,1091956
586,4490525,1095523
587,4505822,1098311
588,4521142,1108766
589,4536488,1109135
590,4551860,1104994
591,4567258,1117335
592,4582682,1106224
593,4598132,1111431
594,4613608,1111021
595,4629110,1116720
596,4644638,1124756
597,4660192,1124879
598,4675772,1135539
599,4691378,1130168
600,4707010,1127421
601,4722668,1131111
602,4738352,1141689
603,4754062,1147224
604,4769798,1137589
605,4785557,1146240
606,4801348,1147634
607,4817159,1149725
608,4832999,1151898
609,4848868,1162763
610,4864760,1162271
611,4880678,1162968
612,4896622,1172316
613,4912592,1177605
614,4928588,1165428
615,4944610,1179450
616,4960658,1182812
617,4976729,1187978
618,4992832,1189290
619,5008958,1187732
620,5025110,1197367
621,5041288,1189331
622,5057492,1202451
623,5073722,1196219
624,5089978,1206100
625,5106260,1207904
626,5122568,1211717
627,5138902,1211881
628,5155262,1227461
629,5171645,1217416
630,5188060,1221311
631,5204498,1220532
