n,Simple_Multiplication,Karatsuba
0,38,3
50,38356,21323
100,151706,66546
200,603406,198894
300,1355106,377531
400,2406806,598398
500,3758506,866087
1000,15017006,2596451
2000,60034006,7781926
3000,135051006,14515889
4000,240068006,23232243
5000,375085006,32500826
6000,540102006,43489564
7000,735119006,56346672
8000,960136006,69956991
9000,1215153006,83289371
10000,1500170006,97494928
