n,Simple_Multiplication,Karatsuba
2,100,85
50,38356,22635
100,151706,66997
200,603406,201805
300,1355106,379335
400,2406806,603523
500,3758506,863627
600,5410206,1131767
700,7361906,1432666
1000,15017006,2597599
2000,60034006,7758679
3000,135051006,14509329
4000,240068006,23307970
5000,375085006,32504188
6000,540102006,43585094
7000,735119006,56353683
8000,960136006,69877861
9000,1215153006,83211922
10000,1500170006,97500627
