n,Simple_Multiplication,Karatsuba
0,38,3
50,38356,22184
100,151706,67366
200,603406,202543
300,1355106,379499
400,2406806,602293
500,3758506,862684
1000,15017006,2583003
2000,60034006,7764378
3000,135051006,14501006
4000,240068006,23294071
5000,375085006,32503491
6000,540102006,43454099
7000,735119006,56274553
8000,960136006,69863716
9000,1215153006,83259523
10000,1500170006,97539085
